22.37	4.05
22.4	3.87
22.43	3.84
22.47	3.94
22.5	3.99
22.53	3.8
22.57	3.67
22.6	3.72
22.63	3.74
22.67	3.75
22.7	3.66
22.73	3.65
22.77	3.81
22.8	3.83
22.83	3.83
22.87	3.71
22.9	3.67
22.93	3.78
22.97	3.9
23	3.83
23.03	3.7
23.07	3.75
23.1	3.65
23.13	3.77
23.17	3.72
23.2	3.86
23.23	3.82
23.27	3.87
23.3	3.77
23.33	3.84
23.37	3.86
23.4	4.07
23.44	3.61
23.48	3.55
23.5	3.82
23.52	3.64
23.56	4.02
23.6	4.15
23.64	4.09
23.68	3.93
23.7	3.99
23.72	4
23.76	3.97
23.8	4.01
23.84	3.89
23.88	3.84
23.92	3.85
23.96	4.11
24.04	4.22
24.08	4.25
24.12	4.26
24.16	4.09
24.2	4.07
24.24	4.15
24.28	4.19
24.32	4.1
24.36	4.03
24.4	3.94
24.44	3.96
24.48	3.89
24.52	3.82
24.56	3.79
24.6	3.78
24.64	3.91
24.68	3.69
24.72	3.69
24.76	3.69
24.79	3.71
24.84	3.36
24.88	3.45
24.92	3.28
24.96	3.34
25	3.22
25.04	3.22
25.08	3.27
25.12	3.25
25.16	3.03
25.2	3.22
25.24	3.18
25.28	3.19
25.32	3.11
25.36	3.12
25.4	3.08
25.44	3.12
25.48	3.08
25.52	3.04
25.56	3.16
25.6	2.92
25.64	3.05
25.68	3.23
25.72	3.13
25.76	3.2
25.8	3.37
25.84	3.52
25.88	3.55
25.92	3.49
25.96	3.68
26	3.51
26.04	3.7
26.08	3.69
26.12	3.93
26.16	3.95
26.2	3.96
26.24	3.95
26.28	4.11
26.32	3.9
26.36	4.18
26.4	4.34
26.44	4.44
26.48	4.5
26.52	4.41
26.56	4.5
26.6	4.6
26.63	4.73
26.67	4.86
26.7	4.81
26.73	4.96
26.77	4.99
26.8	5.04
26.83	5.07
26.87	4.95
26.9	4.95
26.93	4.97
26.97	4.96
27	4.95
27.03	5.03
27.07	5.13
27.1	5
27.13	5.01
27.17	5.04
27.2	4.92
27.24	5.03
27.26	5.03
27.28	5.03
27.32	4.9
27.4	4.8
27.44	5.12
27.48	4.94
27.52	5.09
27.56	5.04
27.6	4.88
27.64	5
27.68	5.07
27.8	4.84
28	4.81
28.2	4.82
28.4	4.79
28.6	4.65
28.8	4.56
29	4.65
29.2	4.86
29.4	4.64
29.6	4.57
29.8	4.67
